buy_price,coin_size,tp_price,tp_pct,notional,zone,weight
0.45,77.0,0.45680000000000004,0.015,34.65,mid,0.10896745332812179
0.46,67.0,0.46690000000000004,0.015,30.82,mid,0.09782143926862726
0.47,57.0,0.4771,0.015,26.79,mid,0.0861007979141603
0.48,49.0,0.4872,0.015,23.52,mid,0.07364956177333543
0.49,38.0,0.4974,0.015,18.62,mid,0.06021615923046478
0.5,28.0,0.5075000000000001,0.015,14.0,near,0.045336623261271615
0.54,26.0,0.5481,0.015,14.040000000000001,near,0.045336623261271636
0.55,34.0,0.5583,0.015,18.700000000000003,mid,0.0602161592304648
0.56,41.0,0.5684,0.015,22.96,mid,0.07364956177333548
0.57,48.0,0.5786,0.015,27.36,mid,0.08610079791416021
0.58,53.0,0.5887,0.015,30.74,mid,0.09782143926862724
0.59,58.0,0.5989,0.015,34.22,mid,0.10896745332812179
